Id,plant_nr,plant_id,fruit_nr,fruit_id,n_seeds,excluded,comment
2,6,2_6,16,2_6_16,5,0,
2,6,2_6,17,2_6_17,3,0,
2,6,2_6,18,2_6_18,4,0,
2,6,2_6,19,2_6_19,2,0,
2,6,2_6,20,2_6_20,3,0,
2,6,2_6,21,2_6_21,3,0,
2,6,2_6,22,2_6_22,6,0,
2,6,2_6,23,2_6_23,2,0,
2,6,2_6,24,2_6_24,4,0,
2,6,2_6,25,2_6_25,3,0,
2,6,2_6,26,2_6_26,4,0,
2,6,2_6,27,2_6_27,7,0,
2,6,2_6,28,2_6_28,4,0,
2,6,2_6,29,2_6_29,2,0,
2,6,2_6,30,2_6_30,5,0,
2,6,2_6,31,2_6_31,4,0,
2,6,2_6,32,2_6_32,4,0,
2,6,2_6,33,2_6_33,3,0,
2,6,2_6,34,2_6_34,4,0,
2,6,2_6,35,2_6_35,2,0,
2,6,2_6,36,2_6_36,2,0,
2,6,2_6,37,2_6_37,2,0,
2,6,2_6,38,2_6_38,2,0,
2,6,2_6,39,2_6_39,3,0,
2,6,2_6,40,2_6_40,5,0,
2,6,2_6,41,2_6_41,2,0,
2,6,2_6,42,2_6_42,3,0,
2,6,2_6,43,2_6_43,1,0,
2,6,2_6,44,2_6_44,1,0,
2,6,2_6,45,2_6_45,2,0,
2,6,2_6,46,2_6_46,3,0,
2,6,2_6,47,2_6_47,3,0,
2,6,2_6,48,2_6_48,3,0,
2,6,2_6,49,2_6_49,3,0,
2,6,2_6,50,2_6_50,4,0,
7,1,7_1,1,7_1_1,7,0,
7,1,7_1,2,7_1_2,6,0,
7,1,7_1,3,7_1_3,5,0,
7,1,7_1,4,7_1_4,3,0,
7,1,7_1,5,7_1_5,5,0,
7,1,7_1,6,7_1_6,5,0,
7,1,7_1,7,7_1_7,4,0,
7,1,7_1,8,7_1_8,5,0,
7,1,7_1,9,7_1_9,2,0,
7,1,7_1,10,7_1_10,4,0,
7,1,7_1,11,7_1_11,3,0,
7,1,7_1,12,7_1_12,5,0,
7,1,7_1,13,7_1_13,3,0,
7,1,7_1,14,7_1_14,6,0,
7,1,7_1,15,7_1_15,6,0,
7,1,7_1,16,7_1_16,8,0,
7,1,7_1,17,7_1_17,3,0,
7,1,7_1,18,7_1_18,3,0,
7,1,7_1,19,7_1_19,1,0,
7,1,7_1,20,7_1_20,3,0,
7,1,7_1,21,7_1_21,5,0,
7,1,7_1,22,7_1_22,3,0,
7,1,7_1,23,7_1_23,2,0,
7,1,7_1,24,7_1_24,1,0,
7,1,7_1,25,7_1_25,3,0,
7,1,7_1,26,7_1_26,3,0,
7,1,7_1,27,7_1_27,3,0,
7,1,7_1,28,7_1_28,5,0,
7,1,7_1,29,7_1_29,5,0,
7,1,7_1,30,7_1_30,4,0,
7,1,7_1,31,7_1_31,4,0,
7,1,7_1,32,7_1_32,4,0,
7,1,7_1,33,7_1_33,3,0,
7,1,7_1,34,7_1_34,4,0,
7,1,7_1,35,7_1_35,3,0,
7,1,7_1,36,7_1_36,4,0,
7,1,7_1,37,7_1_37,4,0,
7,1,7_1,38,7_1_38,5,0,
7,1,7_1,39,7_1_39,2,0,
7,1,7_1,40,7_1_40,2,0,
7,1,7_1,41,7_1_41,3,0,
7,1,7_1,42,7_1_42,5,0,
7,1,7_1,43,7_1_43,2,0,
7,1,7_1,44,7_1_44,6,0,
7,1,7_1,45,7_1_45,4,0,
7,1,7_1,46,7_1_46,1,0,
7,1,7_1,47,7_1_47,7,0,
7,1,7_1,48,7_1_48,5,0,
7,1,7_1,49,7_1_49,4,0,
7,1,7_1,50,7_1_50,1,0,
7,2,7_2,1,7_2_1,5,0,
7,2,7_2,2,7_2_2,3,0,
7,2,7_2,3,7_2_3,5,0,
7,2,7_2,4,7_2_4,5,0,
7,2,7_2,5,7_2_5,3,0,
7,2,7_2,6,7_2_6,3,0,
7,2,7_2,7,7_2_7,3,0,
7,2,7_2,8,7_2_8,3,0,
7,2,7_2,9,7_2_9,6,0,
7,2,7_2,10,7_2_10,5,0,
7,2,7_2,11,7_2_11,8,0,
7,2,7_2,12,7_2_12,4,0,
7,2,7_2,13,7_2_13,2,0,
7,2,7_2,14,7_2_14,6,0,
7,2,7_2,15,7_2_15,3,0,
7,2,7_2,16,7_2_16,4,0,
7,2,7_2,17,7_2_17,4,0,
7,2,7_2,18,7_2_18,5,0,
7,2,7_2,19,7_2_19,4,0,
7,2,7_2,20,7_2_20,3,0,
7,2,7_2,21,7_2_21,4,0,
7,2,7_2,22,7_2_22,3,0,
7,2,7_2,23,7_2_23,3,0,
7,2,7_2,24,7_2_24,3,0,
7,2,7_2,25,7_2_25,2,0,
7,2,7_2,26,7_2_26,3,0,
7,2,7_2,27,7_2_27,3,0,
7,2,7_2,28,7_2_28,3,0,
7,2,7_2,29,7_2_29,5,0,
7,2,7_2,30,7_2_30,4,0,
7,2,7_2,31,7_2_31,3,0,
7,2,7_2,32,7_2_32,1,0,
7,2,7_2,33,7_2_33,1,0,
7,2,7_2,34,7_2_34,1,0,
7,2,7_2,35,7_2_35,4,0,
7,2,7_2,36,7_2_36,3,0,
7,2,7_2,37,7_2_37,4,0,
7,2,7_2,38,7_2_38,5,0,
7,2,7_2,39,7_2_39,3,0,
7,2,7_2,40,7_2_40,3,0,
7,2,7_2,41,7_2_41,2,0,
7,2,7_2,42,7_2_42,2,0,
7,2,7_2,43,7_2_43,4,0,
7,2,7_2,44,7_2_44,2,0,
7,2,7_2,45,7_2_45,6,0,
7,2,7_2,46,7_2_46,5,0,
7,2,7_2,47,7_2_47,5,0,
7,2,7_2,48,7_2_48,3,0,
7,2,7_2,49,7_2_49,5,0,
7,2,7_2,50,7_2_50,3,0,
7,3,7_3,1,7_3_1,1,0,
7,3,7_3,2,7_3_2,7,0,
7,3,7_3,3,7_3_3,7,0,
7,3,7_3,4,7_3_4,5,0,
7,3,7_3,5,7_3_5,6,0,
7,3,7_3,6,7_3_6,5,0,
7,3,7_3,7,7_3_7,4,0,
7,3,7_3,8,7_3_8,5,0,
7,3,7_3,9,7_3_9,6,0,
7,3,7_3,10,7_3_10,4,0,
7,3,7_3,11,7_3_11,2,0,
